modelo,codigo_modelo,ano_fabricacao,ano_modelo,cor,estoque,preco_a_vista,preco_formatado,parcela_1x,parcela_2x,parcela_3x,parcela_4x,parcela_5x,parcela_6x,parcela_7x,parcela_8x,parcela_9x,parcela_10x,parcela_11x,parcela_12x
BIZ 125 EX,142,2026,2026,VERMELHO PEROLIZADO,1,19800,"R$ 19.800,00","R$ 20.392,02","R$ 20.877,12","R$ 21.035,52","R$ 21.193,92","R$ 21.352,32","R$ 21.512,70","R$ 21.673,08","R$ 21.833,46","R$ 21.995,82","R$ 22.158,18","R$ 22.322,52","R$ 22.486,86"
CG 160 FAN,282,2026,2026,PRETO METÁLICO,7,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRETO METÁLICO,6,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRETO METÁLICO,37,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRETO METÁLICO,3,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRETO METÁLICO,7,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRATA METÁLICO,1,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRATA METÁLICO,29,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRATA METÁLICO,1,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 FAN,282,2026,2026,PRATA METÁLICO,7,23400,"R$ 23.400,00","R$ 24.099,66","R$ 24.672,96","R$ 24.860,16","R$ 25.047,36","R$ 25.234,56","R$ 25.424,10","R$ 25.613,64","R$ 25.803,18","R$ 25.995,06","R$ 26.186,94","R$ 26.381,16","R$ 26.575,38"
CG 160 START,295,2026,2026,PRETO,11,21990,"R$ 21.990,00","R$ 22.647,50","R$ 23.186,26","R$ 23.362,18","R$ 23.538,10","R$ 23.714,02","R$ 23.892,14","R$ 24.070,25","R$ 24.248,37","R$ 24.428,69","R$ 24.609,01","R$ 24.791,53","R$ 24.974,04"
CG 160 START,295,2026,2026,AZUL PEROLIZADO,5,21990,"R$ 21.990,00","R$ 22.647,50","R$ 23.186,26","R$ 23.362,18","R$ 23.538,10","R$ 23.714,02","R$ 23.892,14","R$ 24.070,25","R$ 24.248,37","R$ 24.428,69","R$ 24.609,01","R$ 24.791,53","R$ 24.974,04"
CG 160 START,295,2026,2026,AZUL PEROLIZADO,5,21990,"R$ 21.990,00","R$ 22.647,50","R$ 23.186,26","R$ 23.362,18","R$ 23.538,10","R$ 23.714,02","R$ 23.892,14","R$ 24.070,25","R$ 24.248,37","R$ 24.428,69","R$ 24.609,01","R$ 24.791,53","R$ 24.974,04"
CG 160 START,295,2026,2026,AZUL PEROLIZADO,2,21990,"R$ 21.990,00","R$ 22.647,50","R$ 23.186,26","R$ 23.362,18","R$ 23.538,10","R$ 23.714,02","R$ 23.892,14","R$ 24.070,25","R$ 24.248,37","R$ 24.428,69","R$ 24.609,01","R$ 24.791,53","R$ 24.974,04"
